% Model:              FEM_BEM_model_stl_FourProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 20 2025, 09:51
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
38000                                             38000                                             -42.19427561706976                                6.517405023725997E-5+1.4101956114154213E-4i
38150                                             38150                                             -40.207575831120906                               1.1342515162088285E-4+1.5895867689341703E-4i
38300                                             38300                                             -38.74731123317972                                1.6668702777128397E-4+1.599666409571876E-4i
38450                                             38450                                             -37.661499320563635                               2.1931395086016714E-4+1.4295460424174067E-4i
38600                                             38600                                             -36.86646180881314                                2.6550374159289847E-4+1.0867571756456584E-4i
38750                                             38750                                             -36.31214023744556                                2.9990290684656085E-4+5.971300923979239E-5i
38900                                             38900                                             -35.96712758420861                                3.181804443088132E-4+2.485444750011112E-7i
39050                                             39050                                             -35.8101394568024                                 3.175274820432228E-4-6.435580217356573E-5i
39200                                             39200                                             -35.82499114882812                                2.969358911921183E-4-1.28203383896075E-4i
39350                                             39350                                             -35.99327674318319                                2.571654004304147E-4-1.857338937859554E-4i
39500                                             39500                                             -36.26781742197175                                1.9987882094663068E-4-2.3348458021765772E-4i
39650                                             39650                                             -36.258380361101615                               1.1695851989024231E-4-2.8459232691224745E-4i
39800                                             39800                                             -38.70854638879739                                1.0036889522480053E-4-2.0923317320542534E-4i
39950                                             39950                                             -39.01068445415079                                1.5050682915629388E-5-2.2362190865976572E-4i
40100                                             40100                                             -39.88813622840328                                -4.9764391325868296E-5-1.9638531639465384E-4i
40250                                             40250                                             -40.871831174509325                               -1.0029534086564151E-4-1.5055110435024943E-4i
40400                                             40400                                             -41.774787708450575                               -1.3400785751632727E-4-9.28628040111068E-5i
40550                                             40550                                             -42.385611487115625                               -1.490977700058238E-4-2.9391121508570706E-5i
40700                                             40700                                             -42.54094694134746                                -1.4537868411096388E-4+3.387637986751457E-5i
40850                                             40850                                             -42.25158928709136                                -1.243665235015623E-4+9.138236121075671E-5i
41000                                             41000                                             -41.68958455530375                                -8.908323654766015E-5+1.384645453296196E-4i
41150                                             41150                                             -41.051366796843745                               -4.3690929911743837E-5+1.717284033452282E-4i
41300                                             41300                                             -40.4728333757798                                 6.976688016691046E-6+1.8927510565724948E-4i
41450                                             41450                                             -40.027448612607216                               5.7909691972724E-5+1.9077330460059994E-4i
41600                                             41600                                             -39.75109097364498                                1.0438589011008137E-4+1.7737838835552022E-4i
41750                                             41750                                             -39.66240500699013                                1.4238044685693785E-4+1.5152959534459054E-4i
41900                                             41900                                             -39.77604640581844                                1.6885608731720403E-4+1.1663798804495418E-4i
42050                                             42050                                             -40.109638639758565                               1.8196894550154274E-4+7.674720533557E-5i
42200                                             42200                                             -40.69058417313328                                1.8114220580034424E-4+3.615129456657762E-5i
42350                                             42350                                             -41.563346471844255                               1.6705351362983345E-4-9.523739918915197E-7i
42500                                             42500                                             -42.802557137171966                               1.4153088136081848E-4-3.080505396291233E-5i
42650                                             42650                                             -44.53939462595593                                1.0736648218029332E-4-5.036681901693374E-5i
