% Model:              FEM_BEM_model_stl_ThreeProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 13 2025, 09:42
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
21800                                             21800                                             -37.74021424991038                                2.5886119260865037E-4+1.7161731866499608E-5i
21950                                             21950                                             -37.39293058408669                                2.697336915751247E-4-1.2261742321717506E-5i
22100                                             22100                                             -37.143813348001736                               2.74420578039114E-4-4.3637756237169256E-5i
22250                                             22250                                             -36.9891697098149                                 2.7257946219860774E-4-7.556590824531195E-5i
22400                                             22400                                             -36.926850814207064                               2.64202765961119E-4-1.0659756870290416E-4i
22550                                             22550                                             -36.95613351102571                                2.4962148731350053E-4-1.3531380971765206E-4i
22700                                             22700                                             -37.07769020530822                                2.294888401613293E-4-1.6040680383866412E-4i
22850                                             22850                                             -37.29365588296033                                2.0474373728684991E-4-1.807550041337258E-4i
23000                                             23000                                             -37.607734672544396                               1.7656034200080883E-4-1.9548603485441962E-4i
23150                                             23150                                             -38.02552438525222                                1.4627843672931906E-4-2.040265903997529E-4i
23300                                             23300                                             -38.5549213216419                                 1.1532908489841898E-4-2.0613267380864553E-4i
23450                                             23450                                             -39.206859272671394                               8.515175233331229E-5-2.0190062374236817E-4i
23600                                             23600                                             -39.99637213830547                                5.711117065648752E-5-1.9175959425077327E-4i
23750                                             23750                                             -40.944470958935426                               3.242012811771611E-5-1.7643957969826207E-4i
23900                                             23900                                             -42.08106102976025                                1.2072511956284782E-5-1.5692623981844456E-4i
24050                                             24050                                             -43.45033470439992                                -3.210013587384708E-6-1.3439695192374312E-4i
24200                                             24200                                             -45.12084792689028                                -1.3015697683471661E-5-1.1014797669228749E-4i
24350                                             24350                                             -47.20650649394287                                -1.725404171015743E-5-8.551450524318938E-5i
24500                                             24500                                             -49.914510605979665                               -1.615952214228944E-5-6.17931110051817E-5i
24650                                             24650                                             -53.66962349942254                                -1.0262293318463733E-5-4.016192226030668E-5i
24800                                             24800                                             -59.323903267382306                               -3.5089780137109727E-7-2.1616113805800197E-5i
24950                                             24950                                             -62.87921671771006                                1.2584134576776318E-5-6.9114534115843895E-6i
25100                                             25100                                             -57.19079943989521                                2.7417846121480238E-5+3.47309743076174E-6i
25250                                             25250                                             -53.157713983516395                               4.2961320002254944E-5+9.358287202942961E-6i
25400                                             25400                                             -50.596322177859356                               5.804058520231248E-5+1.0867215848642253E-5i
25550                                             25550                                             -48.86660100627281                                7.156855618928315E-5+8.409600080749868E-6i
25700                                             25700                                             -47.67519074303995                                8.261284869881536E-5+2.6472713215985877E-6i
25850                                             25850                                             -46.87599021514715                                9.045114077410599E-5-5.551449565932565E-6i
26000                                             26000                                             -46.391088545756006                               9.46150921642408E-5-1.5174884688495816E-5i
26150                                             26150                                             -46.179319899074926                               9.491770594133309E-5-2.5134846073693318E-5i
26300                                             26300                                             -46.223159950213166                               9.145984766817383E-5-3.4342311891255584E-5i
26450                                             26450                                             -46.523515993523795                               8.462213296944743E-5-4.17806375830887E-5i
26600                                             26600                                             -47.099590438065995                               7.503768314243153E-5-4.657746304437271E-5i
26750                                             26750                                             -47.99316737761875                                6.354733153196568E-5-4.80758892901223E-5i
26900                                             26900                                             -49.2788685920748                                 5.113651022764509E-5-4.5908278073159003E-5i
27050                                             27050                                             -51.07906331670061                                3.883830551537626E-5-4.014448046985031E-5i
27200                                             27200                                             -53.53772963722983                                2.7337514818814856E-5-3.1999054724174414E-5i
27350                                             27350                                             -46.483835209158414                               3.8022736888743136E-5+8.684784938739476E-5i
27500                                             27500                                             -61.208440651080295                               1.3430944225012453E-5+1.10657856524643E-5i
27650                                             27650                                             -56.589492564280015                               1.3067259367893769E-5+2.6579525896686107E-5i
27800                                             27800                                             -52.3213669514302                                 1.6558660528243063E-5+4.549313775270569E-5i
27950                                             27950                                             -49.19753947132277                                2.4748648968675457E-5+6.480190964153199E-5i
28100                                             28100                                             -46.82838675725654                                3.765699708169201E-5+8.297402139589849E-5i
28250                                             28250                                             -44.95834951160562                                5.4963912209160526E-5+9.87419481905949E-5i
28400                                             28400                                             -43.44190814536758                                7.606408319099645E-5+1.1100540828279382E-4i
28550                                             28550                                             -42.192041155192555                               1.0010330945425805E-4+1.188525187174605E-4i
28700                                             28700                                             -41.15338694391822                                1.2603052322163188E-4+1.2160114453807491E-4i
28850                                             28850                                             -40.288923062470765                               1.5265434976841075E-4+1.1883667727496938E-4i
29000                                             29000                                             -39.57319904624413                                1.7870222336430208E-4+1.1043614095984644E-4i
29150                                             29150                                             -38.98802136887254                                2.0290221795293828E-4+9.657531749163173E-5i
29300                                             29300                                             -38.5202448197635                                 2.2404679495019453E-4+7.772878661094218E-5i
29450                                             29450                                             -38.16048027450479                                2.4106092498799025E-4+5.463987528675496E-5i
29600                                             29600                                             -37.90201114262586                                2.5306550412101947E-4+2.8288163335776773E-5i
29750                                             29750                                             -37.74035697511811                                2.594251394424374E-4-1.6521131029900715E-7i
29900                                             29900                                             -37.67285477095505                                2.5978652912600486E-4-2.9438487140542868E-5i
30050                                             30050                                             -37.698436281837914                               2.541007288394681E-4-5.8198185968749705E-5i
30200                                             30200                                             -37.817531706457814                               2.4262715439138383E-4-8.513578544633305E-5i
30350                                             30350                                             -38.03221256355942                                2.2591842317548627E-4-1.0903262569261774E-4i
30500                                             30500                                             -38.34617223823293                                2.0479325756095346E-4-1.2883470184443802E-4i
30650                                             30650                                             -38.765104249186884                               1.8028845040274355E-4-1.4370713607392283E-4i
30800                                             30800                                             -39.297092247151525                               1.536007220974689E-4-1.5308231869926026E-4i
30950                                             30950                                             -39.95337727709285                                1.2601931722150406E-4-1.5668712783256655E-4i
