% Model:              FEM_BEM_model_stl_TwoProlSpheroids_1target.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 3 2025, 18:10
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Ps_Global_var_Point
69250                                             69250                                             -46.038808170141714                               -0.004838574257423622-0.00121803260256792i
69500                                             69500                                             -46.036757478037735                               0.0013131801845228663+0.0048148437345352235i
69750                                             69750                                             -46.04736634403092                                0.003574555757857034-0.0034740387176317i
70000                                             70000                                             -45.990892848966844                               -0.0048607754907448175-0.0012427612180454517i
70250                                             70250                                             -46.011036406593945                               0.0012535754545683897+0.0048459943467193956i
70500                                             70500                                             -46.01284662196061                                0.0036052214975934582-0.003470885960243354i
70750                                             70750                                             -46.012691448003196                               -0.004796022460551441-0.001429592535939772i
71000                                             71000                                             -46.012672621856                                  0.001119264189497482+0.00487779894058904i
71250                                             71250                                             -46.016266415375256                               0.003689253559457928-0.003378515390379877i
71500                                             71500                                             -45.87107065210741                                -0.004814322818630368-0.0016425727072444385i
71750                                             71750                                             -45.98996228109992                                9.940937592073373E-4+0.004918207553483711i
72000                                             72000                                             -45.9916442721734                                 0.003786236786196273-0.0032911472107747764i
72250                                             72250                                             -45.99010459717826                                -0.004731459256368531-0.0016701665255525189i
72500                                             72500                                             -45.98751918400002                                8.81716526915377E-4+0.0049410253037951435i
72750                                             72750                                             -45.98436459773584                                0.0038639937540829727-0.003206089847438406i
73000                                             73000                                             -45.98074123604053                                -0.004697411909765359-0.0017789947916346804i
73250                                             73250                                             -45.97664812780551                                7.724647826334863E-4+0.004965640900572721i
73500                                             73500                                             -45.97181490750191                                0.003938249415003092-0.0031261164141533947i
73750                                             73750                                             -45.96620543862929                                -0.004667154323845235-0.001879563613071955i
74000                                             74000                                             -45.95925787865817                                6.764503580392045E-4+0.004989792942577953i
74250                                             74250                                             -45.950479071325894                               0.004002775186551233-0.003063448230782917i
74500                                             74500                                             -45.93797831733713                                -0.00465442183522069-0.0019535911562618136i
74750                                             74750                                             -45.91805976069373                                6.361567606916196E-4+0.005019222713747995i
75000                                             75000                                             -45.87568626453223                                0.004023479483838965-0.003108034172703174i
75250                                             75250                                             -45.78145695215676                                -0.0048413650297840505-0.001725227251958561i
75500                                             75500                                             -48.16478905737419                                -0.0030414148135815555+0.0024512488660477505i
75750                                             75750                                             -46.16429953729213                                0.004319069205305226-0.002352015139798159i
76000                                             76000                                             -46.073864201072716                               -0.00432298343931159-0.0024509330619260083i
76250                                             76250                                             -46.04123769146873                                7.005574967633432E-5+0.004987642069753662i
76500                                             76500                                             -46.02390148046911                                0.004295174035262583-0.002555872039159285i
76750                                             76750                                             -46.01299044176283                                -0.004357242369426584-0.002461357546329479i
77000                                             77000                                             -46.00536516382641                                2.0723864901928124E-5+0.005008734649453173i
77250                                             77250                                             -45.999744780154685                               0.004345461108645754-0.002497460362146063i
77500                                             77500                                             -45.99549605169947                                -0.004320883823213939-0.002544580691471454i
77750                                             77750                                             -45.992343358134505                               -7.841372532402247E-5+0.005015679355285796i
78000                                             78000                                             -45.989990517408515                               0.004401639187490147-0.0024088164548073244i
78250                                             78250                                             -45.98892787292677                                -0.004267794551282567-0.0026398702640095806i
78500                                             78500                                             -45.98896312029811                                -1.9049668780191098E-4+0.00501462779977091i
78750                                             78750                                             -45.990651413082624                               0.004455206281306356-0.002307407680154734i
79000                                             79000                                             -45.99521434379868                                -0.004202155117799533-0.002736503493483422i
79250                                             79250                                             -46.00507664055628                                -3.089459069266498E-4+0.004999407110756193i
79500                                             79500                                             -46.02878436576428                                0.00449062746298301-0.002187966146617584i
