% Model:              FEM_BEM_model_stl_ThreeProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 10 2025, 15:17
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
19850                                             19850                                             -46.298084602715306                               9.218999491777957E-5-2.9699437242958204E-5i
20000                                             20000                                             -71.8334669896973                                 5.102557089020632E-6+4.344859420024605E-7i
20150                                             20150                                             -38.753998450163735                               2.1949371544138785E-4+7.15141878138148E-5i
20300                                             20300                                             -37.36812819745842                                1.651579870008968E-4-2.1458567524657024E-4i
20450                                             20450                                             -49.335536058341766                               -3.559978972456079E-5-5.825759853217427E-5i
20600                                             20600                                             -41.957787901627476                               1.58101140427358E-4-2.210944871705589E-5i
20750                                             20750                                             -70.4542440543214                                 5.927520389692464E-6+9.445226663018502E-7i
20900                                             20900                                             -37.94745201432526                                2.3725143529423898E-4+8.876490175990792E-5i
21050                                             21050                                             -36.48894125351697                                1.931525769155451E-4-2.290616569277093E-4i
21200                                             21200                                             -47.73803170180255                                -3.854422237670185E-5-7.244370452796911E-5i
21350                                             21350                                             -45.97310895940475                                9.732898295539139E-5-2.5239277272270932E-5i
21500                                             21500                                             -71.33708062459968                                5.353498347349106E-6+8.604456657179682E-7i
21650                                             21650                                             -38.32071581085948                                2.258145310682913E-4+8.882900260032134E-5i
21800                                             21800                                             -36.73513331535361                                1.9211436946076077E-4-2.1890984610362096E-4i
21950                                             21950                                             -47.922393514538975                               -3.622939892533594E-5-7.170290785174505E-5i
22100                                             22100                                             -46.1195534317459                                 9.62309061134925E-5-2.267906446828949E-5i
22250                                             22250                                             -71.46321022763095                                5.252103837394273E-6+9.86985516981953E-7i
22400                                             22400                                             -38.42675497735924                                2.2097860370162703E-4+9.290292590058424E-5i
22550                                             22550                                             -36.83026687525777                                1.9505048833823313E-4-2.1200648030583746E-4i
22700                                             22700                                             -48.01089101624648                                -3.417527185312075E-5-7.180351957114528E-5i
22850                                             22850                                             -46.198030788232145                               9.587558017615239E-5-2.0188030570245097E-5i
23000                                             23000                                             -71.52799394060929                                5.183456111390594E-6+1.1259080094916385E-6i
23150                                             23150                                             -38.49446108504041                                2.1698079097082212E-4+9.743174596710258E-5i
23300                                             23300                                             -36.894923586917095                               1.9862735318848523E-4-2.05699320925401E-4i
23450                                             23450                                             -48.07451391811778                                -3.2193621034570796E-5-7.207843192058583E-5i
23600                                             23600                                             -46.254996810329054                               9.570798281638426E-5-1.7736107547960955E-5i
