% Model:              FEM_BEM_model_stl_FourProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 14 2025, 11:13
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
31250                                             31250                                             -43.74408481495118                                -1.1441811425538795E-6-1.299597669702779E-4i
31400                                             31400                                             -46.692134546730195                               -1.2513588195650627E-5-9.171019925935386E-5i
31550                                             31550                                             -50.95602226171287                                -1.1496857556969609E-5-5.5474975610647626E-5i
31700                                             31700                                             -58.04654787116047                                -1.723749827875487E-7-2.504334374364703E-5i
31850                                             31850                                             -60.64843892208357                                1.8297370404207758E-5-3.118902628496123E-6i
32000                                             32000                                             -53.73757031214181                                4.0141677884131255E-5+8.959144871312219E-6i
32150                                             32150                                             -50.09594260710084                                6.15204617595011E-5+1.1306427715518375E-5i
32300                                             32300                                             -48.04299273398274                                7.904551011528316E-5+5.378798703881138E-6i
32450                                             32450                                             -46.89378869766721                                9.021504259770774E-5-6.3155871844466915E-6i
32600                                             32600                                             -46.37924650285165                                9.371011663078521E-5-2.0634404325203803E-5i
32750                                             32750                                             -46.38856218616564                                8.950672142354898E-5-3.42955193751715E-5i
32900                                             32900                                             -46.89367322991031                                7.880895377010422E-5-4.43622227802587E-5i
33050                                             33050                                             -47.93259829472913                                6.379950430052128E-5-4.866572181361217E-5i
33200                                             33200                                             -49.62696117850577                                4.726221702361366E-5-4.609828676438443E-5i
33350                                             33350                                             -52.25147424641831                                3.212451074591227E-5-3.674038257983625E-5i
33500                                             33500                                             -56.400341774351965                               2.0993535003233088E-5-2.1807027279052704E-5i
33650                                             33650                                             -61.87439118880742                                1.57502481579197E-5-3.4232661745292603E-6i
33800                                             33800                                             -58.6520681734133                                 1.726249552902459E-5+1.573466335524909E-5i
33950                                             33950                                             -53.668333775783665                               2.5254890120618434E-5+3.287849671540499E-5i
34100                                             34100                                             -50.52176508628616                                3.835948204472528E-5+4.5560204399164306E-5i
34250                                             34250                                             -48.48971811537743                                5.4331416506847585E-5+5.2073408646324815E-5i
34400                                             34400                                             -47.193379446060405                               7.040253035583977E-5+5.173929344048922E-5i
34550                                             34550                                             -46.45983981070267                                8.372159101832644E-5+4.5041887627883526E-5i
34700                                             34700                                             -46.21754324414034                                9.180886114934506E-5+3.358247620965926E-5i
34850                                             34850                                             -46.45974323691689                                9.297094362886726E-5+1.986658163455335E-5i
35000                                             35000                                             -47.241855292625175                               8.66055078129202E-5+6.94448886140453E-6i
